feature,importance,expert,fold
Incubation time (h)*RNA cell line specificity score,0.14039257,ABD,0
Dispersion medium pH*RNA blood lineage specificity score,0.102683134,ABD,0
Incubation NP concentration (mg/L)*RNA blood lineage specificity score,0.06934129,ABD,0
Zeta potential*RNA blood lineage specificity score,0.060184382,ABD,0
Incubation NP concentration (mg/L)*RNA brain regional specificity score,0.058645472,ABD,0
SizeTEM (nm)*RNA cell line specificity score,0.033948574,ABD,0
B9A064 Immunoglobulin lambda-like polypeptide 5免疫球蛋白 lambda样*RNA brain regional specificity score,0.030708635,ABD,0
SizeDLS (nm)*RNA cancer specificity score,0.02603907,ABD,0
SizeDLS (nm)*RNA cell line specificity score,0.025110943,ABD,0
B9A064 Immunoglobulin lambda-like polypeptide 5免疫球蛋白 lambda样*RNA tissue specificity score,0.024575513,ABD,0
Zeta potential*Blood concentration - Conc. blood IM [pg/L],0.023071615,ABD,0
Incubation plasma concentration (v/v%)*RNA tissue specificity score,0.021113906,ABD,0
Zeta potential*RNA blood cell specificity score,0.019995248,ABD,0
Centrifugation time （min）*Blood concentration - Conc. blood IM [pg/L],0.019914947,ABD,0
Centrifugation speed (g)*RNA single cell type specificity score,0.01777498,ABD,0
Incubation plasma concentration (v/v%)*RNA single cell type specificity score,0.017691877,ABD,0
Centrifugation time （min）*RNA blood cell specificity score,0.017281005,ABD,0
Incubation temperature (℃)*Interactions,0.016400144,ABD,0
Dispersion medium pH*RNA cancer specificity score,0.016398922,ABD,0
Dispersion medium pH*RNA single cell type specificity score,0.015083283,ABD,0
Centrifugation speed (g)*RNA mouse brain regional specificity score,0.062935315,AHT,0
Zeta potential*RNA mouse brain regional specificity score,0.04833667,AHT,0
Centrifugation speed (g)*RNA tissue specificity score,0.033340883,AHT,0
Centrifugation speed (g)*RNA brain regional specificity score,0.030362766,AHT,0
Incubation temperature (℃)*RNA tissue specificity score,0.029395126,AHT,0
PDI*RNA blood lineage specificity score,0.028196225,AHT,0
Incubation temperature (℃)*RNA cell line specificity score,0.02663814,AHT,0
Incubation NP concentration (mg/L)*RNA blood lineage specificity score,0.026113912,AHT,0
Incubation NP concentration (mg/L)*RNA tissue specificity score,0.020768026,AHT,0
Dispersion medium pH*RNA brain regional specificity score,0.018815728,AHT,0
Incubation plasma concentration (v/v%)*RNA blood lineage specificity score,0.016637852,AHT,0
B9A064 Immunoglobulin lambda-like polypeptide 5免疫球蛋白 lambda样*Blood concentration - Conc. blood MS [pg/L],0.016547557,AHT,0
Centrifugation time （min）*RNA tissue specificity score,0.016231222,AHT,0
Incubation plasma concentration (v/v%)*RNA brain regional specificity score,0.015969448,AHT,0
