family,r2_mean,r2_var,spearman_mean,spearman_var,model,fold
Albumin,-10.922764922397945,,,,Baseline,0
Apolipoprotein,-0.2481370823620669,0.08630531904099682,,,Baseline,0
Complement,-0.3826257525364073,0.0742248864818793,,,Baseline,0
Other,-2.4592818377026995,758.8282893069737,,,Baseline,0
Albumin,-0.013321289845343642,,0.06240067141139543,,Ridge,0
Apolipoprotein,-0.8341042069692779,5.417345326049273,0.016748837789932004,0.04358517350595409,Ridge,0
Complement,-0.17148782688481623,0.004569945745865436,,,Ridge,0
Other,-22.754500450875934,37002.91259368042,0.05616811603037785,0.017467612433134647,Ridge,0
Albumin,0.0784134232069168,,0.7893034765045772,,XGBRanker,0
Apolipoprotein,-0.031260977640807944,0.04729904311326,0.5520955948393665,0.011227362202253835,XGBRanker,0
Complement,-0.07790720499768444,0.004191476169250498,0.2877743391845127,,XGBRanker,0
Other,-0.19729713454186895,0.6513312656174536,0.365266707366872,0.0549295695951024,XGBRanker,0
Albumin,-8.3466679983653,,,,Baseline,1
Apolipoprotein,-0.16575542870779447,0.018656622811874534,,,Baseline,1
Complement,-0.515713103266359,0.1786871456540519,,,Baseline,1
Other,-0.6907733753331573,27.123040856586908,,,Baseline,1
Albumin,-0.05309734770492258,,-0.2548679214906729,,Ridge,1
Apolipoprotein,-0.6239833805397965,2.4618837217349197,0.11670318361272618,0.03713215286102028,Ridge,1
Complement,-0.2267405873705275,0.002066318198728967,,,Ridge,1
Other,-6.25946040264407,2103.2862892265744,0.06319445825506341,0.04328655894137291,Ridge,1
Albumin,0.1889835832742045,,0.7168017023658866,,XGBRanker,1
Apolipoprotein,-0.27189841851161317,0.2121011213220708,0.4364864358194026,0.022512441827105923,XGBRanker,1
Complement,-0.17290225449075824,0.0009413929586901761,0.36638975934784834,,XGBRanker,1
Other,-0.9242794707574933,57.44637730320879,0.43042368727272595,0.05251114536706784,XGBRanker,1
Albumin,-8.233725338867053,,,,Baseline,2
Apolipoprotein,-0.21439306831778154,0.030103388955813614,,,Baseline,2
Complement,-0.2077124958362806,0.0013015977923130292,,,Baseline,2
Other,-4.597129350902424,2805.9723481611454,,,Baseline,2
Albumin,-0.0861140927386217,,-0.21552304346767742,,Ridge,2
Apolipoprotein,-0.505951136857882,0.6296416519072161,0.03775831184226082,0.055176567834465264,Ridge,2
Complement,-0.20985065564781802,4.527072475833556e-05,,,Ridge,2
Other,-443000865.09457755,3.1596209571695854e+19,0.05965028099049295,0.03505108376373624,Ridge,2
Albumin,0.20372626735296595,,0.6160460130372254,,XGBRanker,2
Apolipoprotein,-0.3333371662026786,0.2521097243522196,0.3513251309680185,0.020305673569114294,XGBRanker,2
Complement,-0.2162361934445629,5.299949178322776e-06,0.10761139331761979,,XGBRanker,2
Other,-0.3476577684242468,0.5939490333515687,0.4088629314305355,0.04733390270182123,XGBRanker,2
Albumin,-6.2803544175867625,,,,Baseline,3
Apolipoprotein,-0.17052127223991723,0.01675423851859738,,,Baseline,3
Complement,-0.10010235236993292,0.010831070051334534,,,Baseline,3
Other,-1.6478387157319574,309.92014189058125,,,Baseline,3
Albumin,-0.15554574381613295,,-0.03866476515286116,,Ridge,3
Apolipoprotein,-0.1394178395235727,0.012777309060980131,0.05316780640892411,0.016062655970112066,Ridge,3
Complement,-0.13957327057656665,0.007375226129276022,,,Ridge,3
Other,-199448547.88301605,6.404535246197987e+18,0.0765507509750128,0.029183455504365637,Ridge,3
Albumin,0.16619096108879028,,0.5036387820731493,,XGBRanker,3
Apolipoprotein,-0.08501271043423074,0.014231296413711597,0.43231296201033764,0.02677226401373826,XGBRanker,3
Complement,-0.06902469471960859,0.0001929769959520322,0.21070007571809046,,XGBRanker,3
Other,-0.18795363029802414,0.25918096530111423,0.3805471045994458,0.051316280766588084,XGBRanker,3
Albumin,-11.121052412674958,,,,Baseline,4
Apolipoprotein,-0.42413578050512946,1.0661064702680636,,,Baseline,4
Complement,-0.5920872282979619,0.3479784586660167,,,Baseline,4
Other,-0.4901487009485785,12.73196117867749,,,Baseline,4
Albumin,-0.06997884938762056,,0.1462197624068026,,Ridge,4
Apolipoprotein,-0.6387371578736377,1.7809572799500535,0.022803316520493864,0.013125048110864474,Ridge,4
Complement,-0.18977848853901524,0.0006422151929398993,0.0606077606583002,,Ridge,4
Other,-2.19380344782848,139.7954755552666,0.029794631420629426,0.037171213432136745,Ridge,4
Albumin,-0.3491546426658514,,0.45524866451549595,,XGBRanker,4
Apolipoprotein,-0.2650345856351303,0.45824196786218785,0.38067534262399544,0.006207160173659015,XGBRanker,4
Complement,-0.06616504435694387,0.021899115861737338,0.10357019232834379,,XGBRanker,4
Other,-0.15556947448929476,0.1387729541117023,0.4320402329931091,0.06434148604952286,XGBRanker,4
