,B9A064,O00391,O14791,O43866,O95445,P00488,P00734,P00736,P00738,P00739,P00740,P00742,P00746,P00747,P00748,P00751,P01008,P01009,P01011,P01019,P01023,P01024,P01031,P01034,P01042,P01591,P01593,P01599,P01615,P01619,P01700,P01701,P01764,P01766,P01857,P01859,P01860,P01861,P01871,P01876,P01877,P02533,P02647,P02649,P02652,P02654,P02655,P02656,P02671,P02675,P02679,P02741,P02743,P02745,P02746,P02747,P02748,P02749,P02751,P02753,P02760,P02763,P02765,P02766,P02768,P02774,P02775,P02776,P02787,P02788,P02790,P03951,P03952,P04003,P04004,P04070,P04114,P04196,P04217,P04264,P04406,P04433,P05090,P05106,P05154,P05155,P05156,P05452,P05546,P06312,P06396,P06702,P06727,P06733,P07225,P07357,P07358,P07360,P07737,P07996,P08514,P08519,P08603,P08697,P08709,P09871,P0C0L4,P0C0L5,P0DJI8,P0DOY2,P0DOY3,P10643,P10720,P10909,P11142,P11226,P12259,P12814,P13645,P13671,P14618,P15169,P17936,P18065,P18206,P18428,P19652,P19823,P19827,P20851,P22352,P22891,P23142,P23528,P25311,P27169,P27918,P35443,P35527,P35542,P35579,P35858,P35908,P36955,P39039,P43652,P48740,P49747,P49908,P55056,P60709,P61224,P62937,P63104,P67936,P68366,P68871,P69905,P69905,P80748,P81605,Q03591,Q04756,Q06033,Q13103,Q13201,Q13790,Q14520,Q14624,Q5TB80,Q6Q788,Q86UX7,Q92954,Q96IY4,Q96PD5,Q9BXR6,Q9UGM5,Q9UK55,Q9Y490
B9A064,1.0,0.16337286,0.21609196,0.2455243,0.25,0.16734143,0.18396227,0.16528925,0.21973094,0.24415584,0.22037423,0.2027027,0.2628205,0.1535671,0.1920635,0.16219668,0.2128514,0.21398304,0.2244898,0.21604939,0.11359026,0.0972389,0.097793676,0.26984128,0.16369048,0.24124514,0.23504274,0.2532751,0.24894515,0.25431034,0.23175965,0.22321428,0.24561404,0.25108224,0.23255815,0.22248805,0.21748401,0.235012,0.22107439,0.25179857,0.25485438,0.2020202,0.2524272,0.24462366,0.21491228,0.2,0.22624435,0.23111111,0.15034169,0.21456693,0.20762712,0.2326389,0.24414715,0.25974026,0.25252524,0.26712328,0.18825561,0.24390244,0.072206534,0.24468085,0.24093264,0.25475284,0.24427481,0.25896415,0.1754386,0.222,0.23012552,0.21186441,0.17130919,0.17877094,0.21643287,0.18167701,0.18153846,0.19453377,0.2,0.21174005,0.042944785,0.18,0.22674419,0.15442279,0.23180594,0.24444444,0.24444444,0.14723927,0.22528736,0.20380953,0.184514,0.25925925,0.20231214,0.25333333,0.16666667,0.19148937,0.23004694,0.21598272,0.1839416,0.17676768,0.176565,0.26923078,0.23333333,0.13117547,0.13928914,0.085784316,0.12348668,0.21289062,0.20240481,0.17256011,0.09340974,0.093875214,0.2025862,0.47663552,0.47196263,0.15869312,0.19396552,0.22532189,0.17673716,0.26870748,0.07778777,0.14348786,0.14516129,0.1399788,0.18772563,0.20245399,0.24783862,0.23097113,0.13210848,0.21499014,0.24014337,0.14016737,0.14378378,0.2428115,0.24221453,0.21573034,0.16160221,0.20848057,0.2631579,0.24352331,0.21095334,0.14300518,0.14506173,0.21774194,0.079898216,0.19743179,0.16257669,0.23093683,0.25666666,0.17961165,0.16481994,0.16818774,0.22439024,0.24669604,0.23543689,0.22382672,0.24369748,0.22829582,0.22950819,0.21097046,0.25925925,0.23790322,0.23790322,0.22033899,0.22413793,0.224,0.17620482,0.14617941,0.23958333,0.12055016,0.25,0.19860627,0.14802982,0.10269122,0.22871046,0.1754386,0.09547383,0.21806167,0.19796954,0.1901528,0.2304038,0.19878297,0.070023604
O00391,0.16337286,1.0,0.22824717,0.20509554,0.15179761,0.2536232,0.24226254,0.25236592,0.21990173,0.21526909,0.23627685,0.24166666,0.19448094,0.2516811,0.25881058,0.252,0.25531915,0.2325,0.24129353,0.26449275,0.22653316,0.2152337,0.2081448,0.13101605,0.24485373,0.13395226,0.10933334,0.11333334,0.11466666,0.11733333,0.11037234,0.12165775,0.11081442,0.10828877,0.22140221,0.22098765,0.21650718,0.2189422,0.24634147,0.22727273,0.22426471,0.24019025,0.20516129,0.21601017,0.098535284,0.0815508,0.10026738,0.10307898,0.2365787,0.23341233,0.23207776,0.17670158,0.17546174,0.17979002,0.17945383,0.18337731,0.23793103,0.20437019,0.17225069,0.1686587,0.21446384,0.15699208,0.23067011,0.13770053,0.25558037,0.24264705,0.11631016,0.09549072,0.24688797,0.26985744,0.24195471,0.24834438,0.24838012,0.24858756,0.23024055,0.24422844,0.1140925,0.22573364,0.25619835,0.24043716,0.20561941,0.11615487,0.15139443,0.25166824,0.22627737,0.24853459,0.24971363,0.15678525,0.23957092,0.11615487,0.26826826,0.10709505,0.23587224,0.23123486,0.25080732,0.24031891,0.25368065,0.16512549,0.12334218,0.23684211,0.26616916,0.1851145,0.23299566,0.2585596,0.24327628,0.25789472,0.20853859,0.20934066,0.12133333,0.10947931,0.105614975,0.2582205,0.10695187,0.23300971,0.24429968,0.18940397,0.1790913,0.24680074,0.22425629,0.25201795,0.25261933,0.24537608,0.20924261,0.20807062,0.25219473,0.25331724,0.15505913,0.25174215,0.25932506,0.18100129,0.17397079,0.22087379,0.2513144,0.13962767,0.20204604,0.21649484,0.22732769,0.2555261,0.22019334,0.12133333,0.19382162,0.27613637,0.24080268,0.24009901,0.17819148,0.23477298,0.2531915,0.25024825,0.21628499,0.124668434,0.22620519,0.14741036,0.14021164,0.1751634,0.17716536,0.23543689,0.13297872,0.13618158,0.13618158,0.10828877,0.113788486,0.20906802,0.254818,0.25960636,0.14913449,0.22489083,0.20764332,0.24464487,0.26301855,0.22845691,0.22531645,0.2625523,0.19749835,0.2173913,0.25774336,0.23738532,0.2308642,0.24507388,0.16493656
O14791,0.21609196,0.22824717,1.0,0.26359832,0.2256532,0.22291407,0.2413793,0.23087071,0.27221173,0.26060605,0.24912281,0.25862068,0.24263039,0.2139535,0.24005891,0.23179612,0.24247491,0.26296297,0.27272728,0.2736842,0.16297787,0.15883403,0.15854375,0.19656019,0.21696801,0.20338982,0.17690417,0.16873449,0.17121588,0.15880893,0.16829269,0.17079207,0.18362282,0.17326732,0.23853211,0.23836127,0.23392858,0.23765996,0.24957265,0.24444444,0.25426945,0.25490198,0.2737307,0.25965664,0.16009852,0.14888337,0.16129032,0.15136476,0.21709786,0.24455611,0.26508227,0.2361111,0.22883295,0.22100656,0.22696629,0.20255864,0.254717,0.25416666,0.11513688,0.20608899,0.23752496,0.2364532,0.25252524,0.21813725,0.25183016,0.26241136,0.18446602,0.15196079,0.23289473,0.24062096,0.25886524,0.24108416,0.23571429,0.2428356,0.24745762,0.27106228,0.075558476,0.20657277,0.25250837,0.20027816,0.243083,0.16009852,0.21361503,0.22328931,0.2662835,0.25211507,0.24179104,0.23529412,0.25165564,0.16541353,0.234375,0.16377172,0.27798507,0.2659176,0.25336927,0.25731894,0.24776119,0.23255815,0.17067307,0.17427386,0.2059925,0.12591508,0.17689243,0.25375625,0.2517361,0.22721268,0.14875565,0.15039727,0.1764706,0.15555556,0.15555556,0.21257143,0.15880893,0.2618629,0.24393724,0.23933649,0.12168837,0.2185501,0.2035139,0.2026612,0.25870648,0.25457877,0.23713647,0.2398374,0.19465977,0.26821193,0.22871046,0.20735444,0.21316615,0.23234624,0.2281106,0.25708884,0.21907216,0.2124105,0.24678111,0.26778242,0.24027073,0.2003988,0.2074074,0.18024692,0.13428281,0.25547445,0.21169916,0.27715355,0.22014052,0.24229075,0.22429906,0.21313506,0.23747681,0.1754386,0.26153848,0.21698113,0.19138756,0.24107143,0.24229075,0.26381463,0.18615752,0.17560975,0.17560975,0.16216215,0.1820449,0.2400835,0.22853185,0.21627408,0.20892018,0.17577197,0.2642706,0.23867069,0.21209016,0.16349542,0.24431819,0.22672065,0.13838665,0.23381294,0.23964497,0.25345623,0.26530612,0.25263157,0.114431776
O43866,0.2455243,0.20509554,0.26359832,1.0,0.22020726,0.2154047,0.25075075,0.22880216,0.262,0.25,0.25276753,0.25448027,0.27227724,0.20689656,0.23343374,0.22069825,0.24564797,0.24110672,0.24081632,0.2631579,0.14812332,0.13840623,0.13577332,0.2184874,0.21720117,0.21978022,0.16120219,0.16756757,0.1943662,0.17260274,0.19318181,0.17897727,0.1994382,0.19662921,0.2581967,0.26931107,0.25447315,0.26359832,0.23369566,0.25313807,0.23602484,0.21541156,0.2457421,0.2596811,0.16666667,0.15864022,0.16430596,0.16147308,0.19063546,0.24150269,0.24528302,0.24935733,0.24352331,0.23918575,0.23671497,0.24802111,0.2288,0.2665198,0.103974305,0.24603175,0.25879917,0.22193211,0.25153375,0.19623657,0.24246988,0.25771326,0.19602273,0.16666667,0.22922252,0.22661397,0.26363635,0.22693998,0.22925457,0.24341086,0.24862888,0.25800377,0.06266433,0.22789116,0.2508897,0.19158201,0.24669604,0.16759777,0.21065989,0.21167883,0.25298804,0.22393163,0.2356688,0.24031007,0.23661485,0.17318435,0.21256039,0.16986302,0.26680672,0.24444444,0.21823205,0.23763955,0.22869955,0.23333333,0.1961326,0.17157274,0.18567389,0.11822179,0.17135961,0.23843417,0.2693032,0.22523744,0.13382688,0.13333334,0.1769663,0.16384181,0.16101696,0.19977038,0.17045455,0.22532588,0.2186589,0.253886,0.10991476,0.18554477,0.18931298,0.19626169,0.24222586,0.25143954,0.27817747,0.2699115,0.16582064,0.24057451,0.23116884,0.19018404,0.20255864,0.25634518,0.2506329,0.24847251,0.20676203,0.21525885,0.25531915,0.24489796,0.26363635,0.18951613,0.19793205,0.1966759,0.112804875,0.22788605,0.20086083,0.25544554,0.25587466,0.23410852,0.23537415,0.21583652,0.2375,0.1915493,0.24893618,0.21774194,0.20661157,0.23039216,0.26165804,0.22794117,0.20391062,0.18836565,0.18836565,0.18156424,0.19886364,0.2699115,0.23,0.19160387,0.21158691,0.15977742,0.23672566,0.23349437,0.19327731,0.1471831,0.25373134,0.21023513,0.13074204,0.24554455,0.21786834,0.25832012,0.25306123,0.2247191,0.09968603
O95445,0.25,0.15179761,0.2256532,0.22020726,1.0,0.15405406,0.16118936,0.15738161,0.22222222,0.22788204,0.20886075,0.1980198,0.24,0.14705883,0.17432646,0.14980794,0.19715448,0.2090909,0.20179372,0.18473895,0.09823848,0.09260373,0.09123435,0.25777778,0.16060606,0.2706422,0.22167487,0.23364486,0.24489796,0.24742268,0.24413146,0.24019608,0.24242425,0.24120604,0.20506912,0.20833333,0.19491525,0.21002387,0.18623482,0.20665084,0.21359223,0.1838843,0.24038461,0.22740525,0.22330096,0.24242425,0.2200957,0.20487805,0.13908046,0.18128654,0.20081136,0.24731183,0.25448027,0.21768707,0.24752475,0.22142857,0.17989418,0.2264151,0.06459427,0.2821577,0.22513089,0.25660378,0.20802005,0.26244345,0.1728,0.19758065,0.22897196,0.22727273,0.15841584,0.15738161,0.20625,0.17823344,0.16975309,0.17792422,0.19153225,0.20790021,0.038124453,0.17222223,0.19729207,0.13161875,0.21635884,0.2408377,0.29411766,0.145,0.19815668,0.1880998,0.17340067,0.26422763,0.18375242,0.24186046,0.14917825,0.23857868,0.22302158,0.21088435,0.15239477,0.17597292,0.17607974,0.25,0.25777778,0.10324232,0.1215311,0.074400395,0.110032365,0.20196079,0.1820041,0.16305916,0.08825215,0.08825215,0.23831776,0.21962617,0.22222222,0.1386604,0.23696682,0.18432203,0.16513762,0.2262295,0.070979334,0.12624584,0.14403974,0.13269639,0.18592058,0.2016632,0.21661721,0.21348314,0.11013986,0.196,0.2605364,0.1278826,0.13807982,0.25862068,0.24548736,0.215311,0.15189873,0.2406639,0.23076923,0.23387097,0.18571429,0.12474227,0.14128728,0.23333333,0.074923545,0.17128874,0.13587786,0.21510297,0.24911033,0.17184943,0.15580736,0.13989638,0.22222222,0.25742576,0.23544304,0.26180258,0.2345679,0.25795054,0.2551724,0.19914347,0.24545455,0.24454148,0.24454148,0.23222749,0.24038461,0.23545706,0.15789473,0.13631284,0.24180327,0.10714286,0.22222222,0.17482518,0.13269639,0.09419263,0.20854272,0.16,0.08291992,0.20132743,0.17340067,0.17944251,0.20603015,0.1961207,0.06134487
P00488,0.16734143,0.2536232,0.22291407,0.2154047,0.15405406,1.0,0.264,0.25867507,0.22811344,0.21806452,0.24227442,0.23529412,0.18469657,0.250969,0.2388708,0.26680243,0.24479803,0.24581724,0.24438903,0.25650558,0.22200772,0.22106482,0.20566572,0.13061224,0.2464403,0.14709851,0.11548913,0.114285715,0.117486335,0.11065574,0.1097561,0.11413044,0.11564626,0.12005457,0.23135272,0.22950819,0.23105134,0.23383084,0.24752475,0.22166874,0.21375921,0.2294887,0.20184697,0.2046332,0.099590726,0.09140518,0.10777626,0.10382514,0.26425856,0.24634147,0.23420075,0.16998672,0.16973685,0.18850267,0.18133333,0.1827957,0.24970964,0.22064516,0.17168914,0.16778524,0.21059431,0.17344174,0.21345407,0.13197279,0.23977901,0.25,0.119727895,0.0990502,0.25941873,0.2523172,0.24078624,0.23626374,0.25701943,0.25139666,0.23376623,0.23572296,0.11819969,0.23140496,0.24845488,0.22185792,0.21235521,0.11277174,0.15824468,0.24876603,0.22622108,0.24516909,0.24519774,0.16107382,0.23903002,0.1170068,0.26488096,0.110504776,0.22042342,0.2411693,0.26489362,0.254023,0.26206896,0.17027026,0.1350614,0.23692308,0.25106746,0.18083097,0.24383163,0.24387255,0.23241955,0.2584746,0.20474614,0.20419426,0.11989101,0.099319726,0.10231923,0.2454283,0.10719132,0.24020228,0.26760563,0.19312169,0.17256443,0.24954791,0.2150056,0.2460177,0.25779375,0.24630542,0.19973369,0.20572917,0.24361022,0.25748503,0.17185386,0.2533098,0.2653248,0.18193892,0.171123,0.2408575,0.25236592,0.15810812,0.2007874,0.22709678,0.23076923,0.24312715,0.21035941,0.123809524,0.18235877,0.25641027,0.22958058,0.23667906,0.17639257,0.2522831,0.25359342,0.25548902,0.20496894,0.12108844,0.221519,0.1603261,0.14789689,0.17757009,0.1888298,0.22666667,0.13351499,0.13722827,0.13722827,0.119727895,0.11231394,0.20641026,0.25189188,0.26819924,0.16421896,0.23594674,0.2118421,0.25058824,0.26032317,0.22252011,0.21473159,0.26310045,0.17814569,0.23435582,0.24886878,0.25641027,0.23627076,0.23493235,0.16666667
P00734,0.18396227,0.24226254,0.2413793,0.25075075,0.16118936,0.264,1.0,0.2911833,0.26055312,0.23723723,0.31970802,0.34801763,0.21020092,0.2863248,0.3067885,0.279558,0.25165564,0.2665706,0.2503639,0.25633803,0.21127674,0.19953188,0.19449225,0.15739268,0.25429976,0.16031747,0.13001606,0.1264,0.1364366,0.1323764,0.1323764,0.12779553,0.13578275,0.13141026,0.22644164,0.22344828,0.24289773,0.22990127,0.24114442,0.23272215,0.2393539,0.24048913,0.20679012,0.23053892,0.12300319,0.10914928,0.12140575,0.114832535,0.24239351,0.2558783,0.2503477,0.19462025,0.18730651,0.19626169,0.18195719,0.19212599,0.24146649,0.22666667,0.15654951,0.17777778,0.23582089,0.17445482,0.24736048,0.15311004,0.26229507,0.25165564,0.13009404,0.118589744,0.25483504,0.26182237,0.2520436,0.29620254,0.30964467,0.25334957,0.2578875,0.3264095,0.10118007,0.22681704,0.24770643,0.22985782,0.21783626,0.12939297,0.17936508,0.2454252,0.25216138,0.25606468,0.30169052,0.17665616,0.24598931,0.1312,0.24815983,0.12520064,0.22759601,0.24759285,0.28712872,0.25062656,0.25846925,0.17445482,0.1399046,0.2185008,0.24014337,0.17683806,0.23100537,0.25484765,0.30989957,0.28950542,0.18952063,0.18962632,0.12660256,0.12339743,0.12460064,0.24198553,0.12820514,0.24541607,0.25059667,0.20528771,0.16300528,0.24781342,0.21902378,0.23669201,0.25032425,0.25104022,0.22305389,0.23625557,0.22512235,0.26454294,0.17823344,0.24660194,0.26373628,0.1901082,0.19339623,0.2717873,0.25821066,0.1696,0.2102102,0.22580644,0.24489796,0.24273664,0.21765417,0.14421552,0.16765286,0.2765432,0.22804879,0.25318247,0.1911315,0.26142132,0.30658683,0.26025918,0.2231884,0.14696486,0.22931786,0.16692914,0.16246057,0.19629057,0.2173913,0.25630254,0.14767255,0.15286624,0.15286624,0.13216561,0.13216561,0.22962964,0.31443298,0.25368732,0.165625,0.22628304,0.22827688,0.32417583,0.25288463,0.20094404,0.23308271,0.2554217,0.17837837,0.23512748,0.27402598,0.2572877,0.23142858,0.24964337,0.15058365
P00736,0.16528925,0.25236592,0.23087071,0.22880216,0.15738161,0.25867507,0.2911833,1.0,0.26435247,0.23097463,0.27952754,0.2780612,0.18639456,0.2801205,0.28690475,0.27145922,0.23600973,0.23067011,0.23772609,0.24596274,0.21262887,0.20148402,0.20620333,0.13540198,0.24559471,0.14127424,0.1145686,0.115655854,0.12078652,0.121468924,0.114893615,0.11723164,0.11739746,0.121985815,0.22957198,0.22076215,0.23007712,0.22106633,0.24337958,0.23116884,0.22193211,0.23574145,0.19398907,0.20895523,0.107801415,0.088607594,0.10481586,0.10042433,0.23424271,0.2362972,0.23574145,0.18715084,0.18793829,0.1824417,0.18724559,0.18032786,0.2594397,0.21571238,0.16679968,0.16061452,0.22745626,0.16049382,0.22045153,0.13521127,0.24626006,0.24714829,0.12939522,0.10638298,0.25315127,0.26258206,0.22962964,0.30498177,0.2929782,0.26450115,0.24685138,0.2820513,0.113224044,0.21296297,0.24936387,0.23468208,0.20533334,0.10970464,0.15716273,0.24627607,0.236911,0.23357664,0.28554362,0.1724138,0.25126904,0.11881188,0.2617801,0.112834975,0.23016906,0.22094509,0.26421404,0.25650117,0.25358853,0.15767635,0.12747875,0.2331526,0.2536418,0.1766651,0.23180795,0.24320988,0.27471116,0.40384614,0.2,0.20098847,0.12322946,0.10518934,0.10548523,0.24478178,0.1035461,0.2389937,0.24422443,0.19444445,0.16673979,0.25283018,0.22370012,0.25277779,0.24757281,0.24418604,0.19761273,0.20615797,0.22439405,0.24602203,0.15811373,0.24165915,0.25821596,0.18888889,0.17630854,0.23156533,0.25239617,0.14565827,0.20463847,0.22341858,0.23955774,0.24933687,0.22312139,0.12780899,0.17519686,0.2601626,0.23900789,0.23748395,0.1869806,0.2482679,0.39102563,0.25945377,0.22425033,0.12133891,0.21381143,0.15905948,0.14644352,0.18144044,0.17655173,0.24523507,0.13135593,0.13464236,0.13464236,0.11344538,0.115655854,0.21715818,0.26613817,0.25692454,0.16550764,0.22411242,0.20662251,0.2876053,0.24585636,0.20942761,0.22192514,0.25027686,0.18016194,0.23697917,0.24513173,0.2550177,0.22584857,0.24160206,0.15750773
P00738,0.21973094,0.21990173,0.27221173,0.262,0.22222222,0.22811344,0.26055312,0.26435247,1.0,0.78431374,0.30612245,0.28673837,0.2590909,0.22006841,0.25408617,0.22972973,0.25844595,0.25735295,0.25402504,0.26876092,0.16042781,0.16179104,0.15502958,0.20581114,0.23702665,0.1943128,0.16945107,0.16385542,0.16985646,0.1622276,0.16136919,0.16867469,0.1809291,0.16428572,0.26819924,0.26853707,0.25585586,0.27911645,0.25506756,0.24587156,0.24953096,0.2300163,0.25054467,0.24744377,0.1589242,0.14285715,0.15776698,0.1553398,0.20801733,0.25412542,0.2607143,0.2283105,0.22902495,0.24324325,0.25,0.24507658,0.24461539,0.27623126,0.11437777,0.2245863,0.25955734,0.2174888,0.24271844,0.18872549,0.24182077,0.25844595,0.16908212,0.1452381,0.23096775,0.23514211,0.25795054,0.25,0.25070822,0.24745269,0.2568027,0.28467155,0.07491785,0.2429752,0.26551723,0.19945355,0.26789367,0.1699029,0.2175926,0.23222749,0.2596154,0.24315068,0.26507938,0.2412993,0.2504013,0.17274939,0.2339394,0.1646489,0.26254827,0.26548672,0.24184783,0.25226587,0.2437223,0.21361503,0.1884058,0.18318069,0.19626169,0.12900098,0.18615752,0.2568027,0.3071298,0.27595627,0.14577425,0.14577425,0.1610577,0.16262136,0.16504854,0.22488585,0.1465721,0.23883161,0.24435028,0.24657534,0.12399284,0.21192758,0.21725732,0.21574642,0.23664123,0.2508711,0.26548672,0.24,0.19240725,0.24369748,0.20681818,0.20630081,0.2085954,0.23010753,0.23963134,0.27865613,0.23552631,0.2033097,0.24737945,0.27416173,0.25225225,0.20517929,0.19887955,0.17433414,0.12556963,0.25037935,0.20357634,0.26486486,0.24604966,0.23845008,0.25699067,0.21568628,0.25048923,0.16945107,0.25325885,0.21445782,0.20194647,0.23427331,0.25565612,0.26181817,0.20432693,0.18554217,0.18554217,0.17518248,0.16867469,0.24457593,0.2255846,0.21359223,0.19239374,0.18404423,0.26293996,0.2720126,0.20330237,0.16421053,0.2644135,0.23076923,0.1483555,0.24329159,0.25538462,0.24884081,0.26199263,0.26306307,0.11547525
P00739,0.24415584,0.21526909,0.26060605,0.25,0.22788204,0.21806452,0.23723723,0.23097463,0.78431374,1.0,0.2857143,0.2643885,0.25247526,0.20971563,0.23363096,0.20490797,0.24691358,0.264,0.26396918,0.24863884,0.14854828,0.1425164,0.14379086,0.2093664,0.21794872,0.20994475,0.176781,0.17759563,0.19886364,0.17847025,0.18384402,0.17927171,0.19602273,0.1859155,0.26495728,0.2725367,0.24807692,0.27813163,0.24640287,0.23828125,0.2535211,0.2431942,0.25641027,0.24611974,0.18181819,0.15517241,0.1769663,0.17094018,0.19422863,0.23670669,0.25555557,0.24438903,0.23737374,0.23366834,0.2519084,0.2276029,0.23809524,0.26773456,0.10237807,0.22493225,0.26385808,0.23544973,0.26086956,0.20903955,0.23423423,0.25577265,0.18941504,0.16384181,0.21721855,0.21400778,0.25714287,0.23175965,0.22714286,0.22137405,0.23963964,0.2647619,0.06484118,0.21440262,0.2513089,0.18776672,0.28082192,0.16949153,0.234375,0.21829268,0.24103586,0.24558304,0.23454833,0.2519894,0.24825175,0.19382022,0.20798065,0.17451523,0.25925925,0.26587301,0.22207084,0.2265625,0.24148607,0.22774869,0.20054945,0.16470589,0.18844697,0.111707315,0.17174959,0.24398625,0.29807693,0.23481782,0.13538112,0.13481228,0.17728531,0.17464788,0.17183098,0.2018244,0.15819208,0.22280702,0.23699422,0.26098192,0.109368,0.20043103,0.20952381,0.18834548,0.2365416,0.25708884,0.25598085,0.25111112,0.17182131,0.24820144,0.21963824,0.19650206,0.20064034,0.243309,0.24296676,0.27142859,0.2173913,0.2231405,0.25120774,0.2838428,0.23616236,0.19315895,0.19650654,0.18406594,0.11743772,0.23484848,0.19268636,0.24952015,0.2512563,0.23065251,0.22237197,0.205,0.23958333,0.19101124,0.26293996,0.22554348,0.21798365,0.24197531,0.25124377,0.25875485,0.21369863,0.20661157,0.20661157,0.18309858,0.18644068,0.25570777,0.21203439,0.19206008,0.21065989,0.15710919,0.2609649,0.2496,0.19022869,0.1513437,0.26623377,0.21931034,0.12833099,0.25335893,0.23923445,0.2400636,0.2805907,0.26029962,0.1017282
